,bottom.trawlers,midwater.trawlers,netters,others
lesserSpottedDogfish,0.36,0,0.24,0.19
redMullet,0.27,0,0,0.12
pouting ,0.41,0,0,0.18
whiting,1,0,0,0.43
poorCod,0,0,0,0
cod,0.2,0,0.28,0.13
dragonet,0,0,0,0
sole,0.25,0,1,0.27
plaice,0.45,0,0.38,0.26
horseMackerel,0.12,0.1,0,0.15
mackerel,0.86,0.36,0,0.69
herring,0,1,0,1
sardine,0,0.47,0,0.46
squids,0.47,0,0,0.2
cuttlefish,0.26,0,0,0.17
thornbackRay,0.13,0,0,0.07
