"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.341727945723866,0,0.239395069308205,0.151630969471503
"redMullet",0.248026968109887,0,0,0.113897760827957
"pouting ",0.430586527115112,0,0,0.244697019054661
"whiting",0.850402342793955,0,0,0.456636430353052
"poorCod",0,0,0,0
"cod",0.175246888610838,0,0.214152662880315,0.147350658327514
"dragonet",0,0,0,0
"sole",0.207477373624552,0,1.34179170292733,0.311103338613404
"plaice",0.365142205480929,0,0.429406650888681,0.208563793563742
"horseMackerel",0.110540795885741,0.117434303688075,0,0.111642857982697
"mackerel",1.12015328549176,0.351637492323278,0,0.53749260329587
"herring",0,0.844265337102214,0,0.86808607025213
"sardine",0,0.395518891697814,0,0.503394335816921
"squids",0.496631407631573,0,0,0.239825865876327
"cuttlefish",0.333970342699592,0,0,0.110543621418498
"thornbackRay",0.0958348548115914,0,0,0.0937898959476695
